"Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate","Pace","Avg Watts","Cal/Hour","Avg Heart Rate","Age","Weight","Type","Ranked","Comments"
"2016-06-01 00:00:00","2,000m row","15:25.0","925","0","0","2000","0","","3:51.2","28","396","","60","Lwt","Indoor Rower","No",""
"2016-05-31 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-30 00:00:00","5,000m row","35:45.0","2145","0","0","5000","0","","3:34.5","35","420","","60","Lwt","Indoor Rower","No",""
"2016-05-29 00:00:00","5,000m row","35:17.0","2117","0","0","5000","0","","3:31.7","37","427","","60","Lwt","Indoor Rower","No",""
"2016-05-28 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-27 00:00:00","3,506m row","26:42.0","1602","0","0","3506","0","","3:48.4","29","400","","60","Lwt","Indoor Rower","No",""
"2016-05-26 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-25 00:00:00","5,000m row","33:53.0","2033","0","0","5000","0","","3:23.3","42","444","","60","Lwt","Indoor Rower","No",""
"2016-05-24 00:00:00","3,200m row","23:56.0","1436","0","0","3200","0","","3:44.3","31","407","","60","Lwt","Indoor Rower","No",""
"2016-05-23 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-22 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-21 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-20 00:00:00","5,006m row","34:09.0","2049","0","0","5006","0","","3:24.6","41","441","","60","Lwt","Indoor Rower","No",""
"2016-05-19 00:00:00","5,000m row","36:11.0","2171","0","0","5000","0","","3:37.1","34","417","","60","Lwt","Indoor Rower","No",""
"2016-05-18 00:00:00","1,000m row","10:00.0","600","0","0","1000","0","","5:00.0","13","345","","60","Lwt","Indoor Rower","No",""
"2016-05-17 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-16 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-15 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-14 00:00:00","4,157m row","26:05.0","1565","0","0","4157","0","","3:08.2","52","479","","60","Lwt","Indoor Rower","No",""
"2016-05-13 00:00:00","4,000m row","32:26.0","1946","0","0","4000","0","","4:03.2","24","382","","60","Lwt","Indoor Rower","No",""
"2016-05-12 00:00:00","2,000m row","15:00.0","900","0","0","2000","0","","3:45.0","31","407","","60","Lwt","Indoor Rower","No",""
"2016-05-11 00:00:00","2,000m row","14:24.0","864","0","0","2000","0","","3:36.0","35","420","","60","Lwt","Indoor Rower","No",""
"2016-05-10 00:00:00","4,167m row","30:39.0","1839","0","0","4167","0","","3:40.6","33","413","","60","Lwt","Indoor Rower","No",""
"2016-05-09 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-08 00:00:00","4,115m row","29:51.0","1791","0","0","4115","0","","3:37.6","34","417","","60","Lwt","Indoor Rower","No",""
"2016-05-07 00:00:00","4,000m row","31:39.0","1899","0","0","4000","0","","3:57.3","26","389","","60","Lwt","Indoor Rower","No",""
"2016-05-06 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-05-05 00:00:00","1,341m row","10:00.0","600","0","0","1341","0","","3:43.7","31","407","","60","Lwt","Indoor Rower","No",""
"2016-05-04 00:00:00","0m row","","0","0","0","0","0","","","","","","60","Lwt","Indoor Rower","No","REST"
"2016-05-03 00:00:00","683m row","5:00.0","300","0","0","683","0","","3:39.6","33","413","","60","Lwt","Indoor Rower","No",""
"2016-05-02 00:00:00","2,169m row","15:32.0","932","0","0","2169","0","","3:34.8","35","420","","60","Lwt","Indoor Rower","No",""
"2016-05-01 00:00:00","4,122m row","29:18.0","1758","0","0","4122","0","","3:33.2","36","424","","60","Lwt","Indoor Rower","No",""
